epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lambda_max,sharp_mean,sharp_max
1,0.20256423091971212,0.937,0.06296865758051474,0.9831666666666666,0.05346216844208539,0.9828,4.680342674255371,3.883615207200819e-08,2.7567148208618164e-07
2,0.04432231829770737,0.9861111111111112,0.046333939410746094,0.9858333333333333,0.034412825847114435,0.989,1.9843003749847412,-5.662441182607836e-08,1.2442469596862793e-06
3,0.029147593031844332,0.9907407407407407,0.035753116061290106,0.9885,0.02867303559638094,0.9908,5.759146690368652,1.8905849330508318e-08,3.427267074584961e-07
4,0.02115762316275612,0.9929259259259259,0.03678515984645734,0.9905,0.028500835513981294,0.9911,8.994481086730957,7.711351202033256e-08,5.112960934638977e-07
5,0.014959956134835483,0.9952592592592593,0.04281721534083287,0.9881666666666666,0.03311268686192343,0.9896,9.327404022216797,-5.448237061500549e-08,3.343448042869568e-07
6,0.012385219146018952,0.9960185185185185,0.044334648349399985,0.9878333333333333,0.04181285453611308,0.9891,10.051660537719727,-9.019858993042362e-08,3.674067556858063e-07
7,0.009519366385725637,0.9967407407407407,0.036242126965584855,0.9913333333333333,0.02886140478437228,0.9919,7.858226776123047,1.2479722499847412e-07,2.384185791015625e-06
8,0.005866707490046759,0.9979814814814815,0.05776115138442644,0.9888333333333333,0.046209910890077845,0.9888,0.014428732916712761,5.587935669737476e-10,1.862645149230957e-09
9,0.006685890211191657,0.9976296296296296,0.04035105144550714,0.991,0.04141242400444007,0.9892,9.981934547424316,-6.37024655247842e-08,1.5529803931713104e-07
10,0.004250455206096241,0.9984259259259259,0.038037685490766304,0.9921666666666666,0.03372822152711523,0.9912,0.2969334125518799,-2.607703164514419e-09,5.558831617236137e-09
