epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lambda_max,sharp_mean,sharp_max
1,2.2641600940139206,0.25631481481481483,2.176409881591797,0.5758333333333333,2.1732958820343016,0.5772,2.628429889678955,1.9073486612342094e-07,1.1920928955078125e-06
2,1.7673592597113714,0.6756111111111112,0.9255701305071513,0.7705,0.8983687471389771,0.7868,60.502174377441406,-7.152557657263969e-08,1.7285346984863281e-06
3,0.57782192213447,0.8274814814814815,0.4188856592973073,0.8735,0.4130518009185791,0.8761,152.94895935058594,-2.2053718851111626e-07,1.8775463104248047e-06
4,0.36845862839840077,0.889,0.3199948921203613,0.9073333333333333,0.31564295535087583,0.9077,123.96781158447266,-1.4901161193847656e-07,1.7285346984863281e-06
5,0.30805919158900225,0.9072962962962963,0.2827490934530894,0.918,0.2734117648124695,0.9209,125.3330078125,3.9637089344068954e-07,2.652406692504883e-06
6,0.2773620184969019,0.9159074074074074,0.2682297836939494,0.9188333333333333,0.2568662936449051,0.9207,117.60269165039062,-6.586313361367502e-07,2.205371856689453e-06
7,0.24802458735748573,0.9253333333333333,0.23080068135261536,0.9333333333333333,0.22050716059207917,0.9365,112.47006225585938,4.962086563864432e-07,2.2351741790771484e-06
8,0.22223070590584365,0.9335,0.20462037754058837,0.9443333333333334,0.19538302354812623,0.9433,98.7688217163086,-3.978610152444162e-07,6.407499313354492e-07
9,0.20074332403253625,0.9402962962962963,0.1884116859038671,0.9476666666666667,0.18194918315410613,0.9459,106.93132781982422,3.0845404808133026e-07,2.4884939193725586e-06
10,0.18107531755941886,0.9460925925925926,0.17036068387826284,0.9533333333333334,0.161102745616436,0.9531,101.82112121582031,-2.503395251096663e-07,2.1010637283325195e-06
