epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lambda_max,sharp_mean,sharp_max
1,0.2958627164496316,0.9088333333333334,0.12369920081396897,0.9606666666666667,0.10851733559370041,0.9653,3.925913095474243,4.395842623239332e-08,9.685754776000977e-07
2,0.09843217241212174,0.969462962962963,0.09226441339527568,0.9728333333333333,0.08889500737786293,0.9725,6.12853479385376,6.966293142340874e-08,1.166015863418579e-06
3,0.0643879764146275,0.9802962962962963,0.07298497591664393,0.9771666666666666,0.07177295638099312,0.9777,10.284886360168457,2.0414590551354195e-07,3.0994415283203125e-06
4,0.046939833603695864,0.9845555555555555,0.07171059567232926,0.9788333333333333,0.06933824376703705,0.979,8.966055870056152,7.00354618743404e-08,2.853572368621826e-06
5,0.03377543999140875,0.9888703703703704,0.08749159471442303,0.9741666666666666,0.07631576796006412,0.9778,12.023967742919922,-3.203749798785793e-08,1.9744038581848145e-06
6,0.027197742141990198,0.9911296296296296,0.0751743549760431,0.9776666666666667,0.07150982338553294,0.9792,9.069878578186035,1.9371509552001953e-07,1.5441328287124634e-06
7,0.01841705619251459,0.9936296296296296,0.07656049619304638,0.9786666666666667,0.07533396733393892,0.98,7.771877288818359,8.322298867824429e-07,4.582107067108154e-06
8,0.015410954684273477,0.9949074074074075,0.09418467269853378,0.9758333333333333,0.08924183812210104,0.9771,16.565731048583984,4.239380473336496e-07,1.3485550880432129e-06
9,0.013820053694269585,0.995537037037037,0.08641750824800692,0.9805,0.08465430155954673,0.9787,18.081283569335938,2.577901057065901e-07,1.8104910850524902e-06
10,0.010731859873074831,0.9967777777777778,0.07756098156109996,0.982,0.07602007634883867,0.9823,7.652012825012207,2.771616038899083e-07,1.5534460544586182e-06
